"Aussage 1";"Ich möchte vor dem Festival helfen und dann den Festivaltag entspannt genießen."
"Aussage 2";"Es ist nicht schlimm, wenn ich mal einen Act verpasse."
"Aussage 3";"Das Festival ist mein Ersatz für die Muckiebude."
"Aussage 4";"Auch wenn’s menschlich schwierig wird, bleibe ich ruhig und professionell."
"Aussage 5";"Ich behalte den Überblick und weiß immer, wo es Infos gibt."
"Aussage 6";"Ich kümmere mich gern um das Wohl anderer. Ich kümmere mich am liebsten um die Versorgung und Bedürfnisse Anderer."
"Aussage 7";"Auf dem kompletten Gelände unterwegs sein und Strecke machen? Bin dabei!"
"Aussage 8";"Dagobert Duck ist mein Spiritanimal."
"Aussage 9";"Ich hab Bock kreativ zu arbeiten."
"Aussage 10";"Ich bin Bob der Baumeister bereits seit dem Kindergarten."
"Aussage 11";"Ich wollte schon immer einmal auf einer Bühne hinter die Kulissen schauen."
"Aussage 12";"Ich habe einen Blick für besondere Momente."
"Aussage 13";"Liebe geht durch den Magen – wenn ich nicht studieren würde, wäre ich Koch/Köchin geworden."
"Aussage 14";"Ich möchte dafür sorgen, dass sich alle aus der Festivalcrew wohl fühlen."
"Aussage 15";"Für mich ist das Campusfest mehr als nur Musik und Tanzen."
"Aussage 16";"Social Media ist mein zweites Zuhause."
"Aussage 17";"Ich kann mehr hochheben als nur mein Bier."
"Aussage 18";"Ich komme gerne in Kontakt mit neuen Leuten."
"Aussage 19";"O'zapft is! ist mein Lebensmotto."
"Aussage 20";"Mit meiner offenen und sympathischen Art habe ich bislang jede*n begeistert."
"Aussage 21";"Ich kann andere von Ideen überzeugen."
"Aussage 22";"Ich finde es spannend, Fördermittel und Anträge zu recherchieren."
"Aussage 23";"Nachhaltigkeit ist mir beim Feiern genauso wichtig wie der Spaß."
"Aussage 24";"Meine Playlist besteht hauptsächlich aus Gitarren, Schlagzeug und roher Energie."
"Aussage 25";"Inklusion und Barrierefreiheit sind mir wichtig. "
"Aussage 26";"Ich organisiere gern und behalte den Überblick. "
"Aussage 27";"Mikrofon, Kabel, Licht – Technik fasziniert mich und ich pack' gerne mit an."
"Aussage 28";"Ich kenne den Unterschied zwischen Techno, House und Drum'n'Bass – und hab eine klare Meinung dazu."
"Aussage 29";"Ich bin eher nachts aktiv und lege dann richtig los."
"Aussage 30";"Ich höre Musik, bevor sie in den Charts landet – und kenn die lokale Indie-Szene gut."